gene	community
IRF7	1
STAT2	1
SP100	1
BCL6	1
IRF9	1
STAT3	1
STAT1	1
NFKB2	1
RELB	1
PHF21A	1
RBPJ	1
ETV6	1
ETV7	1
IRF2	1
IRF1	1
STAT5B	1
SP110	1
HIVEP1	1
STAT5A	1
NFKB1	1
DNTTIP1	1
IRF5	1
KDM2A	1
ZNF281	1
MXD1	1
MXD3	1
ESR2	1
PLSCR1	1
ZNF276	1
KMT2B	1
HSF4	1
HES1	1
MAFB	1
SPI1	2
JUNB	2
RARA	2
BACH1	2
CREB5	2
SP1	2
CEBPB	2
ARNTL	2
ATF3	2
FOS	2
KLF6	2
USF1	2
NCOA1	2
ETS2	2
MEF2A	2
RBCK1	2
CREB1	2
PBX2	2
ATF7	2
NCOA2	2
KLF5	2
VDR	2
NFE2L2	2
ATF6	2
DDIT3	2
NFE2L3	2
NFIL3	2
NFYA	2
TCF20	2
HIF1A	2
BATF2	2
CEBPE	2
STAT6	2
NFYC	2
BATF	2
NR3C1	2
RXRA	2
FOSL2	2
SRF	2
HOXA2	2
PKNOX1	2
NKX3-1	2
TOPORS	2
JDP2	2
SP3	2
CEBPD	2
TEAD2	2
ZBTB7B	2
NR1H2	2
NR6A1	2
AHR	2
SPEN	2
FLI1	2
E2F3	2
ZEB1	2
FOXK1	3
IKZF1	3
IKZF3	3
NFATC2	3
NFATC3	3
NFATC1	3
ZNF264	3
ZNF460	3
FOXK2	3
ZNF175	3
BCL11B	3
ATF1	3
XBP1	3
ZNF805	3
ZBTB39	3
CENPB	3
PIN1	3
ZNF574	3
MAF	3
CHAMP1	3
IKZF4	3
GATAD2B	3
JUND	3
FOXP3	3
JUN	3
IRF4	3
HOXA10	3
IKZF2	3
NFYB	3
CUX1	3
MEF2D	3
CREM	3
ZNF816	3
ZNF544	3
EGR1	3
PRDM15	3
ATF4	3
MEF2C	3
ZNF526	3
MYCL	3
ZNF813	3
RUNX3	4
TBX21	4
TCF3	4
SMAD3	4
CXXC5	4
SMAD5	4
CTCF	4
TCF12	4
ZBTB33	4
STAT4	4
ZFHX3	4
GATA3	4
ZNF490	4
SREBF2	4
PRDM4	4
ETS1	4
FOXO1	4
KLF2	4
KLF13	4
RUNX1	4
HIC2	4
ELF1	4
FOXP1	4
SATB1	4
TGIF2	4
SKI	4
REPIN1	4
ATF2	4
THRB	4
SMAD4	4
ZNF672	4
GMEB1	4
ZNF688	4
MAFK	4
PPARD	4
TGIF1	4
ZNF329	4
HMGA1	5
TP53	5
REST	5
KMT2A	5
E2F7	5
E2F8	5
MBD3	5
YY1	5
ZBTB4	5
ZBTB7A	5
ZHX1	5
TCF4	5
TERF1	5
ZFPM1	5
ZNF277	5
HMG20A	5
THAP11	5
PA2G4	5
KLF9	5
MECP2	5
ZFP91	5
GABPA	5
FOXM1	5
DNMT1	5
TET1	5
TERF2	5
ZNF800	5
ZNF385A	5
GATAD2A	5
ZBTB3	5
DOT1L	5
CENPA	5
SOX4	5
TP63	5
BHLHA15	5
ZBTB16	5
ARHGAP35	5
BBX	5
ZBTB43	5
GTF2I	5
KAT7	5
HOMEZ	5
EEA1	5
L3MBTL3	5
L3MBTL4	5
HIC1	5
PHF20	5
YBX1	5
HMG20B	5
ZNF668	5
POU2AF1	5
THAP1	5
PRDM16	5
CXXC1	5
NR4A1	5
ZBTB24	5
ZNF598	5
ZNF232	5
LEF1	6
TCF7	6
EBF1	6
PAX5	6
MYC	6
ADNP	6
REXO4	6
USF2	6
ADNP2	6
RELA	6
NFIC	6
SON	6
KDM2B	6
SRCAP	6
PATZ1	6
NKRF	6
AKAP8	6
NR2C2	6
ETV3	6
NCOA3	6
CDC5L	6
ZNF274	6
BACH2	6
ZNF121	6
ZNF286A	6
IRF8	6
ZNF524	6
ZNF318	6
NFE2L1	6
ZNF512	6
ARNT	6
GLYR1	6
CHCHD3	6
MNT	6
MAFG	6
PPARA	6
ZNF581	6
FOSB	6
ZHX3	6
MGA	7
E2F2	7
TFDP2	7
ARID5B	7
ZBTB38	7
ZNF644	7
ZBTB2	7
E2F4	7
MYBL2	7
LIN54	7
TFDP1	7
AEBP2	7
MTF2	7
PHF19	7
FOXJ2	7
ZNF689	7
PCGF6	7
WIZ	7
ZBTB1	7
ZBTB25	7
E2F1	7
ZKSCAN1	7
E2F5	7
FOXO3	8
FOXO4	8
TFE3	9
TFEB	9
GATA1	10
KLF1	10
LYL1	10
TAL1	10
NFE2	10
GFI1B	10
MYB	10
TFAP4	11
TFCP2	11
UBP1	11
ZBTB9	11
ZFP64	11
ZZZ3	11
ZNF22	11
ZNF624	11
ARID2	11
BPTF	11
ZNF71	11
ZNF184	11
THYN1	11
HOXB4	12
HOXC4	12
HOXB3	12
RARG	12
THRA	12
NFX1	13
ZNF263	13
RBAK	13
ZNF550	13
ZKSCAN8	13
ZNF445	13
SETDB2	13
ZNF707	13
ZNF169	13
ZNF316	13
ZNF165	13
ZNF273	13
ZSCAN25	13
CREB3L2	14
ATF6B	14
CREB3	14
CEBPG	14
DBP	14
NPAS2	14
ATF5	14
ELK1	15
ELK4	15
ZBTB14	16
ZBTB21	16
NR1D1	17
RORA	17
CLOCK	17
RORC	17
ARNTL2	17
LTF	18
TET2	18
SETDB1	19
ZNF24	19
FLYWCH1	19
SAFB2	20
ZFP41	20
SAFB	20
MEIS1	21
PBX1	21
KDM5B	22
ZNF217	22
DR1	23
HSF1	23
NRF1	24
SP4	24
PRDM5	25
ZNF687	25
ZNF444	26
ZNF579	26
ZNF212	27
ZNF777	27
PROX1	28
SOX18	28
SREBF1	29
TWIST2	29
KLF4	30
TCF7L2	30
NFIA	31
ZNF326	31
CSRNP1	32
ZNF587	32
CIC	33
ZBTB18	33
